time,datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1743447600000,2025-03-31 22:00:00,18.81,18.909,18.607,18.639,370773.0,1743451199999,6955822.218,25032,188609.0,3539394.114
1743451200000,2025-03-31 23:00:00,18.64,18.833,18.632,18.679,308583.0,1743454799999,5783901.292,21830,141781.0,2658439.017
1743454800000,2025-04-01 00:00:00,18.679,18.828,18.673,18.7,212593.0,1743458399999,3987132.308,14944,112172.0,2103820.934
1743458400000,2025-04-01 01:00:00,18.699,18.725,18.588,18.725,284917.0,1743461999999,5314906.356,22058,140956.0,2629853.262
1743462000000,2025-04-01 02:00:00,18.725,18.857,18.7,18.762,256504.0,1743465599999,4812872.797,19404,129797.0,2435199.283
1743465600000,2025-04-01 03:00:00,18.761,18.9,18.725,18.824,336804.0,1743469199999,6336140.723,26077,160282.0,3015438.923
1743469200000,2025-04-01 04:00:00,18.824,18.854,18.704,18.76,226097.0,1743472799999,4245301.071,20038,118627.0,2227854.989
1743472800000,2025-04-01 05:00:00,18.76,19.076,18.744,19.059,321601.0,1743476399999,6085041.902,20607,203115.0,3845344.702
1743476400000,2025-04-01 06:00:00,19.058,19.171,18.959,19.019,372873.0,1743479999999,7110895.102,23548,206147.0,3932814.374
1743480000000,2025-04-01 07:00:00,19.021,19.074,18.945,19.05,214742.0,1743483599999,4081333.786,16761,113000.0,2147763.992
1743483600000,2025-04-01 08:00:00,19.05,19.309,19.012,19.185,385881.0,1743487199999,7407359.973,22295,208216.0,3996721.336
1743487200000,2025-04-01 09:00:00,19.185,19.529,19.145,19.373,536757.0,1743490799999,10403175.136,30311,277875.0,5387846.543
1743490800000,2025-04-01 10:00:00,19.374,19.473,19.192,19.195,420393.0,1743494399999,8125607.911,26305,174763.0,3380431.401
1743494400000,2025-04-01 11:00:00,19.195,19.566,19.102,19.55,837680.0,1743497999999,16259526.599,45585,400672.0,7775606.664
1743498000000,2025-04-01 12:00:00,19.55,19.72,19.534,19.652,634789.0,1743501599999,12449224.375,35753,320488.0,6286350.16
1743501600000,2025-04-01 13:00:00,19.652,19.689,19.461,19.472,560270.0,1743505199999,10966486.738,32434,272453.0,5333585.909
1743505200000,2025-04-01 14:00:00,19.472,19.561,19.362,19.384,475925.0,1743508799999,9257451.186,27990,203997.0,3969146.497
1743508800000,2025-04-01 15:00:00,19.383,19.495,19.283,19.355,345693.0,1743512399999,6704076.64,22640,168258.0,3264092.314
1743512400000,2025-04-01 16:00:00,19.355,19.514,19.304,19.368,374990.0,1743515999999,7272489.614,27733,194498.0,3772729.567
1743516000000,2025-04-01 17:00:00,19.372,19.535,18.959,19.459,1130864.0,1743519599999,21734190.812,61383,529056.0,10177981.42
1743519600000,2025-04-01 18:00:00,19.459,19.933,19.454,19.83,908254.0,1743523199999,17939043.488,57291,444601.0,8779046.689
1743523200000,2025-04-01 19:00:00,19.831,19.932,19.633,19.653,614954.0,1743526799999,12164780.059,39110,256378.0,5069717.986
1743526800000,2025-04-01 20:00:00,19.654,19.724,19.575,19.59,278216.0,1743530399999,5467205.277,23153,140880.0,2769321.009
1743530400000,2025-04-01 21:00:00,19.589,19.591,19.335,19.42,367044.0,1743533999999,7132352.846,25792,180422.0,3504786.351
1743534000000,2025-04-01 22:00:00,19.419,19.468,19.337,19.441,217415.0,1743537599999,4218038.606,18146,125832.0,2441348.84
1743537600000,2025-04-01 23:00:00,19.439,19.526,19.296,19.509,294224.0,1743541199999,5710018.979,21511,167543.0,3252422.082
1743541200000,2025-04-02 00:00:00,19.51,19.629,19.435,19.562,274886.0,1743544799999,5371660.233,17147,137116.0,2679957.952
1743544800000,2025-04-02 01:00:00,19.564,19.756,19.541,19.656,318570.0,1743548399999,6267231.042,20405,168086.0,3306939.674
1743548400000,2025-04-02 02:00:00,19.658,19.907,19.552,19.809,1128916.0,1743551999999,22293959.606,44421,538294.0,10623870.643
1743552000000,2025-04-02 03:00:00,19.81,19.83,19.454,19.497,778334.0,1743555599999,15295707.548,42711,392754.0,7715151.154
1743555600000,2025-04-02 04:00:00,19.498,19.527,19.355,19.428,444698.0,1743559199999,8637058.617,32103,238634.0,4634847.793
1743559200000,2025-04-02 05:00:00,19.43,19.458,19.111,19.233,460511.0,1743562799999,8861029.167,31879,217287.0,4180414.088
1743562800000,2025-04-02 06:00:00,19.231,19.382,19.203,19.21,323068.0,1743566399999,6229014.94,22090,169230.0,3262648.612
1743566400000,2025-04-02 07:00:00,19.21,19.275,19.107,19.165,325261.0,1743569999999,6242136.799,20383,188635.0,3620842.929
